warm,autism1,gmo1,ftblack,ftwhite,fthisp,ftasian,ftmuslim
2,2,1,50,50,50,48,50
2,-1,-1,72,50,41,58,5
2,-1,-1,95,94,91,94,15
1,2,1,54,77,66,71,19
2,-1,-1,49,56,56,56,53
1,1,2,100,100,100,98,99
1,-1,-1,100,100,100,100,50
1,-1,-1,100,80,100,100,93
1,-1,-1,53,53,71,52,53
1,2,2,61,85,49,11,2
1,2,2,83,80,81,81,84
1,-1,-1,51,41,55,51,52
1,2,1,45,45,59,47,77
2,1,1,68,66,69,69,38
1,2,1,83,84,85,83,85
2,-1,-1,88,89,47,60,56
2,2,1,88,88,88,88,44
2,2,2,98,97,100,100,98
1,-1,-1,82,87,83,84,81
1,-1,-1,69,70,69,70,71
1,2,1,52,54,50,52,53
2,-1,-1,100,100,100,100,50
2,2,2,100,98,100,98,97
2,-1,-1,86,85,88,77,57
2,2,2,69,82,49,22,5
1,-1,-1,75,75,75,75,75
1,2,1,50,59,50,50,43
1,2,1,88,71,82,88,69
1,-1,-1,4,99,41,99,90
1,-1,-1,80,90,87,90,59
1,2,2,98,39,94,97,97
1,2,1,48,49,49,70,40
1,-1,-1,94,86,97,94,73
1,-1,-1,74,70,81,77,80
1,2,2,55,46,43,81,0
2,-1,-1,100,100,100,100,89
1,2,2,52,50,52,53,50
1,-1,-1,50,50,50,50,50
1,2,1,77,77,77,77,47
1,-1,-1,96,93,95,96,94
1,2,1,58,53,56,55,59
1,2,2,67,16,31,68,15
2,-1,-1,85,85,85,85,52
2,-1,-1,99,99,98,100,88
1,2,2,96,100,10,100,10
1,-1,-1,60,70,45,50,50
1,2,1,79,78,79,54,23
2,2,1,51,52,51,50,26
1,2,2,57,54,57,44,55
1,-1,-1,100,100,100,100,100
1,-1,-1,50,50,50,50,0
2,2,2,98,10,14,22,22
1,2,1,50,60,70,84,2
2,1,2,86,87,85,90,85
2,-1,-1,100,100,100,100,60
1,-1,-1,45,51,11,59,20
1,-1,-1,70,70,70,70,65
1,2,1,27,98,29,10,1
2,2,1,49,53,50,94,3
1,2,2,100,100,100,100,100
1,2,2,50,51,50,50,11
2,-1,-1,88,88,88,88,41
1,-1,-1,88,94,85,91,77
2,-1,-1,28,44,39,36,30
1,-1,-1,50,50,50,50,50
1,2,2,38,42,48,47,48
1,2,1,61,61,61,61,52
1,-1,-1,75,100,89,83,70
2,2,2,50,50,50,50,50
2,-1,-1,75,85,85,85,1
2,2,1,68,66,67,64,58
1,2,1,65,70,70,90,70
2,2,2,52,52,50,53,54
1,-1,-1,71,56,62,66,53
2,2,2,92,92,93,51,48
2,1,2,50,56,45,35,35
1,-1,-1,78,65,66,71,62
1,-1,-1,94,79,94,91,85
1,2,2,53,53,53,53,53
1,-1,-1,93,94,92,94,88
2,1,2,99,99,100,97,6
1,-1,-1,48,84,17,47,18
1,-1,-1,50,53,51,52,38
1,2,2,89,26,38,79,38
1,2,1,50,54,48,52,0
1,-1,-1,64,47,60,32,50
2,-1,-1,100,100,100,100,2
2,2,2,57,60,51,54,50
1,-1,-1,50,50,50,50,50
1,2,1,53,54,54,50,52
1,-1,-1,49,52,100,45,30
1,2,1,63,63,62,90,50
1,-1,-1,24,53,21,21,20
1,-1,-1,100,69,94,93,97
2,2,2,98,96,94,84,8
1,2,2,81,66,80,86,85
1,2,2,100,100,100,100,100
1,2,1,100,100,98,100,100
1,-1,-1,6,58,6,32,5
1,2,2,86,80,85,86,50
1,-1,-1,79,52,81,41,21
2,2,2,70,73,70,57,70
1,-1,-1,66,70,70,71,41
